JavaScript除了事件触发onclick之外，还提供了其他的事件触发，如表1-4所示。
表1-4　JavaScript的事件触发


事件触发         说明 
onabort    图像加载被中断时触发 
onblur     元素失去焦点时触发 
onchange   用户改变文本内容时触发 
onclick    鼠标单击某个标签时触发 
ondblclick  鼠标双击某个标签时触发 
onerror     加载文档或图像时发生某个错误时触发 
onfocus    元素获得焦点时触发 
onkeydown  某个键盘的键被按下时触发 
onkeypress  某个键盘的键被按下或按住时触发 
onkeyup     某个键盘的键被松开时触发 
onload      某个页面或图像完成加载时触发 
onmousedown  某个鼠标按键被按下时触发 
onmousemove   某个鼠标移动时触发 
onmouseout    鼠标从某元素移开时触发 
onmouseover   鼠标被移到某元素之上时触发 
onmouseup     某个鼠标按键被松开时触发 
onreset       重置按钮被单击时触发 
onresize      窗口或框架被调整尺寸时触发 
onselect      文本被选定时触发
onsubmit      提交按钮被单击时触发 
onunload      用户退出页面时触发 

