$ vmstat 1 5
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 126960 244672 1739424    0    0   387    10    3    2  1  1 98  1  0
 0  0      0 126960 244672 1739468    0    0     0     0 1712 3338  0  0 100  0  0
 0  0      0 126960 244672 1739468    0    0     0     0 1753 3354  1  1 99  0  0
 0  0      0 126960 244672 1739468    0    0     0     0 1734 3347  0  0 100  0  0
 0  0      0 126992 244672 1739468    0    0     0     0 1623 3235  1  0 99  0  0
[root@weilaidb] ~/work/git/qtlibs_mingw730_32


$ vmstat 1 30 -a
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 114836 2251184 922280    0    0   387    10    4    3  1  1 98  1  0
 1  0      0 114584 2251276 922296    0    0     0     0 1759 3388  0  0 99  0  0
 0  0      0 114584 2251276 922296    0    0     0     0 1709 3305  0  0 100  0  0
 0  0      0 114584 2251276 922296    0    0     0     0 1561 3189  0  1 99  0  0
 0  0      0 114584 2251276 922296    0    0     0     0 1540 3162  0  0 100  0  0
 0  0      0 113492 2251376 922296    0    0     0    20 1735 3346  1  1 98  0  0
 0  0      0 113560 2251320 922300    0    0     0     0 1783 3393  0  1 99  0  0
 0  0      0 113560 2251320 922300    0    0     0     0 1723 3341  1  0 100  0  0
 0  0      0 113560 2251320 922300    0    0     0     0 1736 3355  0  1 99  0  0
 0  0      0 113560 2251320 922300    0    0     0     0 1776 3424  0  1 99  0  0
 0  0      0 113560 2251320 922300    0    0     0     0 1674 3314  0  1 99  0  0
 0  0      0 113592 2251352 922300    0    0     0     0 1610 3234  1  1 99  0  0
 0  0      0 113592 2251352 922300    0    0     0     0 1724 3320  1  1 99  0  0
 0  0      0 113592 2251352 922300    0    0     0     0 1693 3307  0  1 99  0  0
 0  0      0 113592 2251352 922300    0    0     0    12 1739 3375  1  1 99  0  0
 0  0      0 113592 2251352 922300    0    0     0     0 1728 3354  0  1 99  0  0
 0  0      0 113592 2251352 922300    0    0     0     0 1738 3350  1  1 99  0  0
 0  0      0 113592 2251352 922300    0    0     0     0 1721 3346  0  0 100  0  0
 0  0      0 113592 2251352 922300    0    0     0     0 1685 3277  0  1 99  0  0
 1  0      0 113592 2251352 922300    0    0     0     0 1736 3369  1  1 99  0  0
 0  0      0 113528 2251352 922300    0    0     0     0 1572 3232  0  0 100  0  0
 0  0      0 113528 2251352 922300    0    0     0     0 1628 3241  0  1 99  0  0
 0  0      0 113528 2251352 922300    0    0     0     0 1702 3312  0  1 99  0  0
 0  0      0 113528 2251352 922300    0    0     0     0 1708 3321  0  1 99  0  0
 0  0      0 113528 2251352 922300    0    0     0     0 1753 3360  0  0 100  0  0
 0  0      0 113528 2251352 922300    0    0     0    16 1746 3351  0  1 99  0  0
 1  0      0 113528 2251352 922300    0    0     0     0 1726 3350  1  0 99  0  0
 0  0      0 113560 2251352 922300    0    0     0     0 1716 3310  0  1 100  0  0
 0  0      0 113560 2251352 922300    0    0     0     0 1720 3330  1  1 99  0  0
 0  0      0 113560 2251352 922300    0    0     0     0 1708 3338  0  1 99  0  0
