一、eclipse常用快捷键
描述	快捷键
补全代码的声明	alt + /
自动生成返回对象	方法一：将光标放在该段代码任意位置，按ctrl+1,弹出 Assign statement to new local varible,enter，点击即可
自动生成返回对象	方法二：将光标放在该段代码任意位置，按ctrl+2后直接按L键。就会自动补全了
调出生成 getter/setter/构造器等结构	alt + shift + s
反撤销	ctrl + y
批量导包	ctrl + shift + o
使用单行注释	ctrl + /
使用多行注释	ctrl + shift + /
取消多行注释	ctrl + shift + \
复制指定行的代码	ctrl + alt + down 或 ctrl + alt + up
删除指定行的代码	ctrl + d
上下移动代码	alt + up 或 alt + down
切换到下一行代码空位	shift + enter
切换到上一行代码空位	ctrl + shift + enter
如何查看源码	ctrl + 选中指定的结构 或 ctrl + shift + t
退回到前一个编辑的页面	alt + left
进入到下一个编辑的页面(针对于上面那条来说的)	alt + right
光标选中指定的类，查看继承树结构	ctrl + t
格式化代码	ctrl + shift + f
在当前类中，显示类结构，并支持搜索指定的方法、属性等	ctrl + o
批量修改指定的变量名、方法名、类名等	alt + shift + r
选中的结构的大小写的切换：变成大写	ctrl + shift + x
选中的结构的大小写的切换：变成小写	ctrl + shift + y
显示当前选择资源(工程 or 文件)的属性	alt + enter
快速查找：参照选中的 Word 快速定位到下一个	ctrl + k
关闭当前窗口	ctrl + w
关闭所有的窗口	ctrl + shift + w
查看指定的结构使用过的地方	ctrl + alt + g
查找与替换	ctrl + f
最大化当前的 View	ctrl + m

快捷键的更改

Preferences->General->Keys


